inserttime;initial_investment;agg_return;profit_loss
2022-11-24 18:26:26;100.0;100.01108730376919;0.011087303769187429
2022-11-24 18:35:44;200.0110873037692;199.99979817119169;-0.011289132577502414
2022-11-24 18:44:35;299.9997981711917;299.98243985306937;-0.01735831812231936
2022-11-24 18:52:44;399.98243985306937;399.95706093917175;-0.02537891389761171
2022-11-24 19:01:14;499.95706093917175;499.9491217698479;-0.00793916932383354
2022-11-24 19:09:38;499.95706093917175;500.04997834555485;0.0929174063830942
2022-11-24 19:18:07;499.95706093917175;499.61071238451564;-0.34634855465611736
2022-11-24 19:24:38;499.95706093917175;499.6090503768162;-0.3480105623555687
2022-11-24 19:31:09;499.95706093917175;499.504073074253;-0.4529878649187822
2022-11-24 19:37:41;499.95706093917175;499.4047872930237;-0.5522736461480804
2022-11-24 19:44:03;499.95706093917175;499.61285125446324;-0.34420968470851676
2022-11-24 19:50:34;499.95706093917175;499.7007677841297;-0.2562931550420444
